q1,q2,q3,q4,q5,q6
0.000,-0.458,2.255,1.141,1.570,0
0.001,-0.461,2.247,1.137,1.570,0
0.008,-0.470,2.226,1.125,1.570,0
0.024,-0.481,2.199,1.110,1.570,0
0.048,-0.493,2.171,1.093,1.570,0
0.081,-0.502,2.152,1.082,1.570,0
0.120,-0.504,2.146,1.079,1.570,0
0.159,-0.498,2.159,1.086,1.570,0
0.196,-0.484,2.192,1.105,1.570,0
0.224,-0.462,2.245,1.136,1.570,0
0.241,-0.433,2.312,1.175,1.570,0
0.243,-0.402,2.389,1.220,1.570,0
0.226,-0.372,2.465,1.266,1.570,0
0.192,-0.346,2.533,1.308,1.570,0
0.146,-0.326,2.586,1.341,1.570,0
0.096,-0.314,2.622,1.365,1.570,0
0.052,-0.306,2.645,1.380,1.570,0
0.021,-0.302,2.659,1.390,1.570,0
0.005,-0.299,2.666,1.395,1.570,0
0.000,-0.298,2.671,1.398,1.570,0
-0.000,-0.298,2.671,1.398,1.570,0
-0.005,-0.300,2.664,1.393,1.570,0
-0.021,-0.306,2.646,1.381,1.570,0
-0.051,-0.317,2.614,1.360,1.570,0
-0.093,-0.334,2.565,1.328,1.570,0
-0.140,-0.358,2.499,1.287,1.570,0
-0.182,-0.390,2.419,1.238,1.570,0
-0.213,-0.426,2.330,1.185,1.570,0
-0.228,-0.463,2.243,1.134,1.570,0
-0.228,-0.496,2.165,1.090,1.570,0
-0.213,-0.522,2.105,1.056,1.570,0
-0.187,-0.538,2.068,1.035,1.570,0
-0.154,-0.543,2.056,1.029,1.570,0
-0.117,-0.538,2.069,1.035,1.570,0
-0.080,-0.524,2.099,1.053,1.570,0
-0.047,-0.506,2.140,1.076,1.570,0
-0.022,-0.488,2.184,1.101,1.570,0
-0.007,-0.472,2.222,1.122,1.570,0
-0.001,-0.461,2.246,1.137,1.570,0
0.000,-0.458,2.255,1.141,1.570,0
